probe    EcoCyc CommonName	EcoCyc accession	EcoCyc ID
1759749_s_at	ycaC	b0897	EG11241
1761962_s_at	galE	b0759	EG10362
1766073_s_at	fieF	b3915	EG11873
1766449_s_at	yjfJ	b4182	G7847
1761589_s_at	tyrB	b4054	EG11040
1764160_s_at	mdtD	b2077	EG12136
1764062_s_at	hslJ	b1379	G6702
1768000_s_at	proX	b2679	EG10773
1761088_s_at	cybB	b1418	EG10172
1761645_s_at	hofC	b0106	EG11798
1767506_s_at	entC	b0593	EG10261
1764481_s_at	yecT	b1877	G7026
1768749_s_at	yhdP	b4472	G7690
1767038_s_at	folA	b0048	EG10326
1762332_s_at	ygeX	b2871	G7490
1759291_s_at	nfsB	b0578	EG50005
1759806_s_at	trpC	b1262	EG11026
1766716_s_at	nrdG	b4237	G812
1769248_at	potG	b0855	EG11630
1761620_s_at	treB	b4240	EG12127
1768461_s_at	msrA	b4219	EG11433
1764123_s_at	yaaU	b0045	EG11566
1765501_s_at	murB	b3972	EG11205
1766843_s_at	icd	b1136	EG10489
1759753_at	micA	b4442	G0-8866
1767449_s_at	yqfA	b2899	G7512
1768045_s_at	flgH	b1079	G364
1759927_s_at	aphA	b4055	EG11934
1764766_s_at	ttcA	b1344	G6675
1759303_s_at	crcB	b0624	EG12209
1767453_at	psrO	b4449	G0-8870
1767946_s_at	basS	b4112	EG11614
1768832_s_at	yajQ	b0426	G6240
1761473_s_at	ygiS	b3020	G7570
1761173_s_at	srlD	b2705	EG10971
1769279_s_at	mrcB	b0149	EG10605
1768762_s_at	rffM	b3794	EG11458
1763715_s_at	bcsF	b3537	EG12264
1768937_at	ompC	b2215	EG10670
1762774_s_at	gcd	b0124	EG10369
1767628_at	ygfF	b2902	G7514
1768146_s_at	ivy	b0220	G6104
1764029_at	rfaQ	b3632	EG11341
1768221_s_at	metK	b2942	EG10589
1764820_s_at	ybjH	b0843	G6441
1767755_s_at	yegH	b2063	G7108
1760846_at	dinD	b3645	EG11193
1761151_at	moeB	b0826	EG10154
1763679_at	cyaR	b4438	G0-8878
1762367_s_at	tpiA	b3919	EG11015
1762769_at	ygiL	b3043	EG12363
1761548_s_at	bax	b3570	EG11360
1767710_s_at	dnaE	b0184	EG10238
1764186_s_at	ygjP	b3085	G7604
1760763_s_at	cdsA	b0175	EG10139
1763939_s_at	rutD	b1009	G6520
1760041_s_at	malK	b4035	EG10558
1761973_s_at	nagZ	b1107	G6567
1759741_at	paaG	b1394	G6715
1768076_s_at	yqhD	b3011	G7564
1764712_s_at	nlpD	b2742	EG12111
1769181_at	ypdI	b2376	G7239
1765101_at	yigG	b3818	EG11465
1768275_s_at	yqeF	b2844	G7464
1763355_at	cas1	b2755	G7425
1766553_s_at	wzzE	b3785	EG11295
1759817_s_at	frwC	b3949	EG11908
1769152_s_at	emrA	b2685	EG11354
1767873_s_at	flhA	b1879	G370
1763362_s_at	yigL	b3826	EG11470
1764473_s_at	kch	b1250	EG11606
1764467_s_at	sspB	b3228	EG10978
1766913_s_at	pykF	b1676	EG10804
1762327_s_at	greB	b3406	EG11578
1760098_s_at	yghX		G7556
1767087_s_at	cbpA	b1000	EG12193
1759134_s_at	mdtJ	b1600	G6858
1765040_s_at	flgI	b1080	G365
1762687_s_at	mglA	b2149	EG10592
1759390_s_at	yahE	b0319	G6184
1764174_s_at	puuC	b1300	EG10036
1768145_s_at	carB	b0033	EG10135
1767042_s_at	yfdX	b2375	G7238
1766049_s_at	ybeD	b0631	EG11592
1767674_s_at	fis	b3261	EG10317
1760714_s_at	yebQ	b1828	G7004
1760128_s_at	xseB	b0422	EG11098
1765229_s_at	thiP	b0067	EG11573
1759187_at	ryeA	b4432	G0-8865
1761759_s_at	nuoB	b2287	EG12083
1767040_s_at	sdhD	b0722	EG10934
1768933_s_at	hyfC	b2483	G7300
1767564_s_at	ykfJ		G6119
1765232_s_at	ssuC	b0934	G6476
1768124_s_at	yddM	b1477	G6774
1759873_s_at	yebG	b1848	EG11808
1764188_s_at	ybdL	b0600	G6329
1763777_s_at	fepD	b0590	EG10296
1766668_s_at	mdoC	b1047	G6552
1762529_s_at	yhbQ	b3155	G7649
1766923_s_at	insE-1	b0298	G6168
1762274_s_at	uspD	b3923	EG11877
1760011_s_at	eaeH		EG12161
1759715_s_at	yccA	b0970	EG11113
1759977_s_at	yhfA	b3356	EG11182
1759604_at	yafY	b0251	G6126
1761048_s_at	citD	b0617	G6343
1761325_s_at	ispD	b2747	G7423
1766958_s_at	thiH	b3990	EG11590
1764253_s_at	gapA	b1779	EG10367
1759230_s_at	yiaK	b3575	EG12279
1768086_at	yfbP	b2275	G7182
1765029_s_at	yjeF	b4167	EG11758
1765754_s_at	yobB	b1843	G7015
1762754_s_at	yejL	b2187	EG12043
1767768_s_at	suhB	b2533	EG10983
1763881_s_at	cydA	b0733	EG10173
1762969_s_at	ybdH	b0599	EG12692
1764969_s_at	oppA	b1243	EG10674
1765921_at	yjfF	b4231	EG12439
1765336_s_at	gnsB	b1550	G6823
1764536_at	yaiS	b0364	G6216
1766478_s_at	gloB	b0212	G6099
1767446_s_at	idi	b2889	G7508
1763145_s_at	wzyE	b3793	EG11457
1768013_at	fecR	b4292	EG10292
1768038_s_at	ydhO	b1655	G6892
1765151_s_at	rpsE	b3303	EG10904
1765167_s_at	zapB	b3928	EG11878
1763020_s_at	yfcA	b2327	EG11144
1762371_s_at	yjaH	b4001	EG11917
1765613_s_at	glnL	b3869	EG10387
1760715_s_at	ybeF	b0629	EG11594
1768853_s_at	hisM	b2307	EG10007
1762061_s_at	ybiJ	b0802	EG12422
1766569_s_at	pbpG	b2134	EG12015
1760793_s_at	fdhF	b4079	EG10285
1765355_at	yliL	b0816	G6419
1768079_at	glmY	b4441	G0-8910
1766705_s_at	fliQ	b1949	EG11976
1766061_s_at	nuoK	b2279	EG12091
1760956_s_at	yhcB	b3233	G7681
1761540_s_at	arcA	b4401	EG10061
1764432_s_at	ybjG	b0841	G6439
1760387_s_at	viaA	b3745	EG11730
1764520_s_at	galS	b2151	EG10365
1763542_s_at	yciN	b1273	EG12868
1768667_s_at	yhiI	b3487	EG12224
1767599_s_at	thyA	b2827	EG11002
1762143_s_at	ilvL	b3766	EG11270
1759122_s_at	thrA	b0002	EG10998
1766107_s_at	asnA	b3744	EG10091
1764102_s_at	yceA	b1055	EG11116
1765191_s_at	pepD	b0237	EG10695
1769259_s_at	iraP	b0382	EG11256
1763207_s_at	flgJ	b1081	G366
1766175_s_at	lepB	b2568	EG10530
1766127_s_at	yedZ	b1972	G7060
1762680_at	poxB	b0871	EG10754
1768567_s_at	rcsC	b2218	EG10822
1767660_s_at	yeeV	b2005	G7085
1765900_s_at	yqgC	b2940	G7522
1768589_s_at	moaD	b0784	EG11597
1759211_s_at	matA	b0294	G6165
1768453_s_at	phnE	b4104	EG11283
1764972_s_at	yfiB	b2605	EG11152
1760275_s_at	metC	b3008	EG10583
1764120_s_at	flk	b2321	EG10229
1761732_s_at	ndk	b2518	EG10650
1763994_s_at	ybjI	b0844	G6442
1762749_s_at	ybcJ	b0528	EG12879
1765734_s_at	nemR	b1649	G6889
1761202_at	ymfI	b1143	G6587
1765655_s_at	cysD	b2752	EG10186
1766168_s_at	tfaX	b0563	G6317
1764814_s_at	speE	b0121	EG10963
1762744_s_at	yoaG	b1796	G6982
1768236_at	yfcQ	b2334	G7205
1760575_s_at	yjaA	b4011	EG11206
1760839_s_at	ybiC	b0801	EG11581
1769142_at	purD	b4005	EG10792
1767419_s_at	hcaF	b2539	M015
1760852_s_at	lamB	b4036	EG10528
1762566_s_at	ydcP	b1435	G6746
1764667_s_at	uhpB	b3668	EG11052
1768953_s_at	appA	b0980	EG10049
1767595_at	wzc	b2060	G7105
1768443_s_at	ppiB	b0525	EG10758
1763209_s_at	yhcM	b3232	G7680
1767070_s_at	ygbM	b2739	G7420
1761402_s_at	nusG	b3982	EG10667
1766215_s_at	ycfH	b1100	EG12303
1761469_s_at	yebT	b1834	G7007
1768494_s_at	prfB	b2891	EG10762
1768778_s_at	insA-7	b4294	G7908
1765006_at	yffL	b2443	G7273
1762713_s_at	yfaY	b2249	G7162
1760270_s_at	napD	b2207	EG12143
1760991_s_at	yjeT	b4176	G7844
1768219_s_at	yhfL	b3369	G7722
1763680_s_at	fruL		EG11273
1765146_x_at	lomR_1	b1369	G6692
1766059_s_at	yjdA	b4109	EG11210
1759088_s_at	rimO	b0835	G6435
1760323_s_at	yedJ	b1962	EG12710
1767500_s_at	der	b2511	G7319
1762536_s_at	dcuR	b4124	G7826
1767122_s_at	tig	b0436	EG11003
1768533_s_at	hscA	b2526	EG12130
1763981_s_at	aceA	b4015	EG10022
1761380_s_at	ucpA	b2426	EG12133
1766761_s_at	epd	b2927	EG10368
1763025_s_at	ytjB	b4387	EG10951
1763896_s_at	fimD	b4317	EG10311
1759847_s_at	nadK	b2615	EG12192
1766964_s_at	pntA	b1603	EG10744
1762762_s_at	yijE	b3943	EG11902
1766090_s_at	lplT	b2835	EG12455
1761554_s_at	uraA	b2497	EG12129
1766003_s_at	adiY	b4116	EG11966
1768021_x_at	rdlC	b4424	G0-9608
1762123_s_at	narU	b1469	EG12153
1759470_s_at	bglB	b3721	EG10114
1763827_s_at	atoC	b2220	EG11668
1762133_s_at	leuA	b0074	EG11226
1766842_at	yfjQ	b2633	G7368
1765067_s_at	rpsC	b3314	EG10902
1768921_s_at	ypeA	b2434	G7269
1766715_s_at	yccM	b0992	G6513
1760872_s_at	eamA	b1533	EG11639
1760236_s_at	araD	b0061	EG10055
1760197_s_at	ffh	b2610	EG10300
1761468_s_at	tktA	b2935	EG11427
1767604_s_at	dcrB	b3472	G7767
1760965_s_at	htpX	b1829	EG10462
1759732_s_at	lpxP	b2378	G7241
1764900_s_at	yejM	b2188	EG12049
1761544_s_at	rnb	b1286	EG11620
1759133_s_at	ycjW	b1320	G6658
1767695_s_at	yraI	b3143	G7638
1768617_at	nlpA	b3661	EG10657
1766527_s_at	yodC	b1957	G7050
1768266_s_at	nagD	b0675	EG10634
1762875_at	rfbC	b2038	EG11979
1768946_s_at	thiG	b3991	EG11589
1767311_s_at	lnt	b0657	EG10168
1764274_s_at	ymdA	b1044	G6549
1762450_at	psrN	b4448	G0-8869
1764175_s_at	iscR	b2531	G7326
1761919_at	rhsB	b3482	EG10847
1767634_s_at	dhaR	b1201	G6628
1766441_s_at	rpmA	b3185	EG50002
1759609_s_at	frsA	b0239	EG11091
1764622_s_at	malM	b4037	EG10559
1767370_s_at	glnD	b0167	EG11411
1768293_at	yfbO	b2274	G7181
1761305_s_at	mrdA	b0635	EG10606
1760455_s_at	pagB	b4023	EG11922
1763830_s_at	ydjN	b1729	G6934
1761453_s_at	ybhB	b0773	EG11238
1762281_s_at	yehD	b2111	EG11990
1762205_s_at	purC	b2476	EG10791
1767807_s_at	rpmF	b1089	EG10890
1760766_s_at	ydeA	b1528	EG11636
1760326_s_at	obgE	b3183	G7656
1766363_s_at	yhbE	b3184	EG11499
1767801_s_at	acrA	b0463	EG11703
1766659_at	rfbD	b2040	EG12411
1766605_at	yedM	b1935	G7043
1768473_s_at	ygfM	b2880	G7499
1765707_s_at	araE	b2841	EG10056
1761685_s_at	yfeC	b2398	EG11431
1761363_s_at	yfiR	b2603	G7354
1762364_s_at	yjjG	b4374	EG12115
1761684_s_at	recR	b0472	EG10834
1760404_at	rfaJ	b3626	EG11353
1760432_s_at	uhpT	b3666	EG11054
1763639_s_at	ydiS	b1699	G6922
1766580_s_at	yhhS	b3473	EG12219
1768649_at	ycdF		G6516
1759891_s_at	glcA	b2975	G7542
1760364_s_at	dppF	b3540	EG12628
1766163_s_at	argP	b2916	EG10490
1766818_s_at	mhpC	b0349	M012
1761057_s_at	speC	b2965	EG10961
1765427_s_at	gcvH	b2904	EG10371
1767162_s_at	tdcG	b4471	G7624
1759106_s_at	fkpA	b3347	G7716
1762039_at	bglH	b3720	EG11364
1761750_s_at	srlA	b2702	G8210
1762161_s_at	ygbI	b2735	G7416
1759549_s_at	ybgJ	b0711	G6380
1760725_s_at	yheL	b3343	G7712
1760434_s_at	efeU_1	b1016	G6525
1761502_s_at	emtA	b1193	G6622
1762545_s_at	tam	b1519	G6806
1768748_s_at	uspA	b3495	EG11390
1760525_at	rtcA	b4475	G7750
1762841_at	ybcM	b0546	G6302
1765499_at	yjhG	b4297	G7910
1760653_s_at	hemH	b0475	EG10431
1768331_s_at	yhdT	b3257	G7693
1765637_s_at	ybdJ	b0580	G6325
1768022_s_at	mrcA	b3396	EG10748
1763369_at	yfjZ	b2645	G7380
1764344_s_at	hyi	b0508	G6277
1763214_at	yjgZ	b4277	G7899
1765266_s_at	xerD	b2894	EG11071
1768428_s_at	gltJ	b0654	EG12661
1763466_s_at	pcm	b2743	EG10689
1765458_s_at	ybiX	b0804	G6413
1768326_s_at	ydeI	b1536	EG11644
1763139_s_at	frwD	b3953	EG11912
1765581_at	ycaK	b0901	EG12702
1760300_s_at	yncH	b1455	G6766
1761917_s_at	rplD	b3319	EG10867
1760904_s_at	greA	b3181	EG10415
1764937_s_at	torD	b0998	EG12195
1765651_s_at	ybeT	b0647	G6354
1759467_s_at	sufE	b1679	G6905
1763838_s_at	rpoH	b3461	EG10897
1762853_at	sgbE	b3583	EG12287
1759788_s_at	glpF	b3927	EG10396
1764200_s_at	ybjE	b0874	G6458
1761767_s_at	ybjN	b0853	G6447
1765440_s_at	ampG	b0433	EG12183
1761274_at	isrA	b4426	G0-8899
1768783_s_at	iap	b2753	EG10488
1759124_s_at	mdtQ	b2138	EG12020
1763696_s_at	ompW	b1256	EG11124
1764172_s_at	amiA	b2435	EG11823
1765846_s_at	argR	b3237	EG10070
1762560_s_at	cysK	b2414	EG10192
1762597_s_at	ybhG	b0795	G6412
1763569_s_at	rimN	b3282	G7698
1759417_at	arpA	b4017	EG11208
1764285_s_at	tas	b2834	G7462
1761312_s_at	acrE	b3265	EG10266
1768422_s_at	yqjA	b3095	G7609
1760308_s_at	yqeC	b2876	G7495
1759164_s_at	grpE	b2614	EG10416
1761369_s_at	hipB	b1508	EG10442
1761604_s_at	mgsA	b0963	G6497
1760048_s_at	bioA	b0774	EG10117
1759801_s_at	gpmA	b0755	EG11699
1768241_s_at	puuA	b1297	G6644
1763762_s_at	tilS	b0188	G6096
1763481_s_at	ygeP	b2862	G7482
1761585_s_at	bfd	b3337	EG11181
1763987_s_at	fucU	b2804	EG10355
1764112_s_at	yfbT	b2293	G7187
1767454_at	ymfT	b1146	G6590
1759459_s_at	yqiA	b3031	G7578
1768211_s_at	yncB	b1449	G6760
1767077_s_at	norR	b2709	EG12108
1759181_s_at	yoaF	b1793	G6979
1766247_s_at	iscX	b2524	EG12311
1762886_s_at	dsbG	b0604	G6333
1762548_s_at	apt	b0469	EG10051
1761670_s_at	ygaW	b2670	G7399
1768492_s_at	lptF	b4261	G7888
1765938_s_at	pspF	b1303	EG12344
1763619_s_at	yeeX	b2007	G7087
1768825_at	yjgW	b4274	G7896
1763280_s_at	hscC	b0650	G6357
1765942_s_at	thrB	b0003	EG10999
1768522_s_at	malX	b1621	EG10563
1768552_s_at	ybeB	b0637	EG11255
1760636_s_at	ilvA	b3772	EG10493
1766089_s_at	iclR	b4018	EG10491
1763259_s_at	tgt	b0406	EG10996
1765089_s_at	xanP	b3654	EG11194
1762468_s_at	rhlE	b0797	EG11235
1764658_at	puuB	b1301	EG11822
1762423_s_at	ygiB	b3037	EG11164
1765776_s_at	bacA	b3057	EG11665
1765539_s_at	pgk	b2926	EG10703
1765188_s_at	yaiV	b0375	G6226
1766276_s_at	phoQ	b1129	EG10732
1761522_s_at	tsf	b0170	EG11033
1763582_s_at	dcd	b2065	EG11418
1768885_at	yegI	b2070	G7109
1766314_s_at	ygiN	b3029	EG12657
1765193_at	yzgL	b3427	G7752
1766005_s_at	ada	b2213	EG10029
1765133_s_at	cspH	b0989	G6510
1764525_s_at	dnaG	b3066	EG10239
1765309_s_at	glnS	b0680	EG10390
1764488_s_at	ychE	b1242	EG11342
1766833_s_at	spoT	b3650	EG10966
1759748_s_at	tolQ	b0737	EG11010
1762561_s_at	frlC	b4474	G7724
1764429_s_at	trpB	b1261	EG11025
1761401_s_at	ykgB	b0301	G6171
1763216_s_at	isrB	b4434	G0-8904
1762140_s_at	lpxA	b0181	EG10545
1768371_at	xthA	b1749	EG11073
1760140_s_at	rffT	b4481	G7800
1763445_s_at	bdm	b1481	G6776
1762372_s_at	rarD	b3819	EG11466
1767285_s_at	sbmC	b2009	EG11892
1762177_s_at	metA	b4013	EG10581
1760802_s_at	ulaF	b4198	G7860
1768890_s_at	aroM	b0390	EG10083
1765060_s_at	rph	b3643	EG10863
1760223_s_at	yhaK	b3106	G7620
1764873_s_at	yrfG	b3399	G7742
1761454_s_at	hemY	b3802	EG10434
1767299_s_at	mutH	b2831	EG10624
1762547_s_at	mdaB	b3028	EG12656
