probe    EcoCyc CommonName	EcoCyc accession	EcoCyc ID
1768251_s_at	atoD	b2221	EG11669
1763342_at	betB	b0312	EG10110
1765932_s_at	ilvD	b3771	EG10496
1761851_s_at	ytfH	b4212	G7869
1761943_s_at	ynjD	b1756	G6951
1764402_s_at	pflC	b3952	EG11911
1764409_s_at	ppa	b4226	EG10755
1759113_s_at	ftsK	b0890	G6464
1764960_at	ryfA	b4440	G0-8879
1766306_s_at	ybbO	b0493	G6269
1766494_s_at	ghrB	b3553	EG12272
1763029_s_at	yjjW	b4379	G7953
1768128_s_at	yafP	b0234	G6118
1768261_at	yghG	b2971	G7538
1763251_at	fecE	b4287	EG10290
1768561_s_at	rseP	b0176	EG12436
1764747_s_at	dhaK	b1200	G6627
1764893_s_at	yfcZ	b2343	G7214
1761703_s_at	ariR	b1166	G6606
1761301_at	yihR	b3879	EG11844
1763747_at	ymfD	b1137	G6582
1760449_at	yfeS	b2420	G7261
1762711_s_at	glmS	b3729	EG10382
1765364_at	intE	b1140	EG12370
1760806_s_at	racC	b1351	EG10813
1759108_s_at	ydiI	b1686	G6912
1769045_s_at	menD	b2264	EG10579
1766189_s_at	rlpA	b0633	EG10854
1768302_s_at	rhaS	b3905	EG10843
1766423_s_at	slmA	b3641	EG11191
1762978_s_at	ibpB	b3686	EG11535
1762525_s_at	ydiH	b1685	G6911
1768063_s_at	gspA	b3323	G7701
1765569_s_at	yfcJ	b2322	G7198
1762313_s_at	elbB	b3209	EG11383
1762965_s_at	yedP	b1955	G7048
1764229_s_at	gabP	b2663	EG11330
1763503_s_at	malI	b1620	EG10557
1766714_s_at	yehE	b2112	EG11991
1760664_s_at	ycaD	b0898	EG11242
1764779_at	ydeK	b1510	EG11780
1765663_s_at	ykiA	b0392	G6231
1762683_s_at	uspE	b1333	EG11246
1761808_at	appY	b0564	EG10050
1766274_s_at	yfiC	b2575	EG11538
1767914_s_at	tag	b3549	EG10986
1759837_s_at	csgG	b1037	G6543
1764617_s_at	cadA	b4131	EG10131
1762402_s_at	yzcX	b3808	G7802
1761099_s_at	hsrA	b3754	EG11732
1763900_s_at	trmJ	b2532	G7327
1766650_s_at	sbp	b3917	EG10929
1767464_at	yjhV	b4286	G7907
1759989_s_at	yraP	b3150	G7644
1768017_s_at	pabC	b1096	EG11493
1759548_s_at	cyaA	b3806	EG10170
1763464_s_at	napB	b2203	EG12061
1768684_s_at	manX	b1817	EG10567
1767051_s_at	guaD	b2883	G7502
1761865_s_at	queC	b0444	G6245
1761906_s_at	ygjJ	b3079	G7598
1768963_s_at	yehC	b2110	EG11989
1762354_s_at	lsrR	b1512	G6799
1760094_s_at	pqiA	b0950	G6490
1763118_s_at	psd	b4160	EG10775
1761191_s_at	ydcL	b1431	G6742
1765761_s_at	nuoI	b2281	EG12089
1765103_at	yggC	b2928	EG11161
1768232_s_at	sodB	b1656	EG10954
1761165_s_at	yhbJ	b3205	EG12146
1764790_at	ybjP	b0865	G6450
1761681_s_at	cysE	b3607	EG10187
1761571_s_at	napH	b2204	EG12062
1762003_s_at	yrbL	b3207	G7667
1768491_at	gspD	b3325	G7703
1760859_s_at	yejK	b2186	EG12048
1762510_s_at	ydiJ	b1687	G6913
1765533_s_at	dnaN	b3701	EG10242
1764319_s_at	btuR	b1270	EG10130
1769288_at	yffS	b2450	G7280
1768931_at	bglX	b2132	EG12013
1759826_s_at	cysH	b2762	EG10189
1766982_s_at	yedV	b1968	G7056
1767488_s_at	yhfG	b3362	EG12374
1768215_s_at	yneN	b1500	G6790
1769010_s_at	psiE	b4030	EG11209
1763536_s_at	mioC	b3742	EG11199
1764246_at	yfdL	b2355	G7224
1767598_s_at	aat	b0885	EG11112
1767433_s_at	nudF	b3034	EG12633
1767363_s_at	cydC	b0886	EG10012
1767499_at	yegE	b2067	EG12396
1765766_s_at	dapE	b2472	EG10208
1766213_s_at	narQ	b2469	EG11460
1762048_at	potF	b0854	EG11629
1759233_at	yafL	b0227	G6111
1762345_s_at	sufD	b1681	G6907
1761261_s_at	cynS	b0340	EG10175
1766451_at	intR	b1345	G6676
1765105_s_at	ytfQ	b4227	EG12517
1768662_s_at	mltC	b2963	G7533
1764502_s_at	yidP	b3684	EG11711
1766241_at	erfK	b1990	G7073
1762166_s_at	trpR	b4393	EG11029
1766268_s_at	yghU	b2989	G7553
1763947_s_at	dinI	b1061	G6558
1764935_s_at	mpaA	b1326	G6662
1761588_s_at	tdcC	b3116	EG10991
1768073_at	acnB	b0118	EG12316
1761964_s_at	trxC	b2582	EG11887
1766871_s_at	sbcB	b2011	EG10926
1769273_s_at	ftsH	b3178	EG11506
1761838_s_at	abgA	b1338	G6670
1762789_s_at	ybaL	b0478	EG12623
1761485_s_at	tatA	b3836	G7806
1765695_s_at	yebF	b1847	EG11807
1766136_s_at	hcaR	b2537	G7331
1759242_s_at	lipB	b0630	EG11591
1766325_s_at	yghZ	b3001	G7558
1766120_s_at	citX	b0614	G6340
1759563_s_at	rdoA	b3859	EG11831
1767765_s_at	truA	b2318	EG10454
1760519_s_at	ybcK	b0544	G6300
1760127_at	pppA	b2972	G7539
1763944_at	rtcR	b3422	EG12356
1762824_s_at	flhD	b1892	EG10320
1764150_s_at	pqqL	b1494	EG11744
1767829_s_at	serB	b4388	EG10945
1760176_s_at	cmoA	b1870	G7020
1765334_s_at	yegV	b2100	G7132
1767694_s_at	lipA	b0628	EG11306
1767034_s_at	xylF	b3566	EG20252
1762635_s_at	yedY	b1971	G7059
1765485_s_at	yifN		G7798
1765536_s_at	ynbC	b1410	G6729
1764770_s_at	ndh	b1109	EG10649
1759170_s_at	pepA	b4260	EG10694
1763152_s_at	pflD	b3951	EG11910
1759299_s_at	tesA	b0494	EG11542
1760381_s_at	pinH		G7383
1765751_s_at	tbpA	b0068	EG11574
1766155_s_at	dppB	b3543	EG12625
1768968_s_at	murJ	b1069	G6561
1766339_s_at	dgoT	b3691	EG20053
1765585_s_at	qor	b4051	EG11492
1759603_at	yfjR	b2634	G7369
1761687_s_at	yieK	b3718	EG11728
1762234_s_at	ybiI	b0803	EG12421
1765946_s_at	yagX	b0291	G6162
1765300_s_at	ykgH	b0310	G6180
1761646_at	wcaM	b2043	G7094
1766692_at	yafW	b0246	G6121
1767841_s_at	tdcD	b3115	EG11172
1762778_s_at	hisD	b2020	EG10447
1766686_s_at	dinF	b4044	EG11491
1768610_s_at	yhjD	b3522	EG12248
1760064_s_at	ybcF	b0521	EG12384
1764297_s_at	eutM	b2457	G7287
1764559_s_at	rluA	b0058	EG12609
1765195_s_at	yeaL	b1789	G6975
1768629_s_at	yebY	b1839	G7012
1759987_s_at	cca	b3056	EG10136
1768373_s_at	ypjK	b2635	G7370
1762830_s_at	yqaA	b2689	G7407
1764791_s_at	ytfL	b4218	G7873
1759384_s_at	creB	b4398	EG11218
1768900_at	feaR	b1384	G6706
1768291_s_at	yhgF	b3407	G7746
1766413_s_at	nanE	b3223	G7677
1765519_s_at	birA	b3973	EG10123
1762488_s_at	mliC	b1639	EG11488
1769267_s_at	ydiU	b1706	G6924
1763221_s_at	amiD	b0867	G6452
1763974_at	paaB	b1389	G6710
1763411_s_at	yqaD	b2658	G7393
1761286_s_at	sseA	b2521	EG11600
1759664_s_at	yceG	b1097	EG11494
1759965_s_at	nadB	b2574	EG10631
1766944_at	lhgO	b2660	EG12387
1763461_s_at	dsdA	b2366	EG10249
1762487_s_at	yigP	b3834	EG11474
1764295_s_at	cspD	b0880	EG11111
1765465_at	phnL	b4096	EG10721
1763018_s_at	fkpB	b0028	EG11080
1768055_s_at	ybgA	b0707	EG11108
1765997_s_at	ydcM	b1432	G6743
1759439_at	ryhB	b4451	G0-8872
1766523_s_at	yheM	b3344	G7713
1768240_at	yfjX	b2643	G7378
1760751_s_at	astB	b1745	G6941
1764122_s_at	b1052		G6553
1766811_s_at	sfmC	b0531	G6291
1760923_s_at	nfi	b3998	EG11915
1763096_s_at	tehB	b1430	EG11884
1763238_s_at	yfjG	b2619	G7358
1764279_s_at	mgtA	b4242	EG12525
1765578_s_at	ygiD	b3039	EG11166
1759356_at	afuC	b0262	EG12340
1767170_s_at	yoaH	b1811	G6995
1762736_s_at	glnK	b0450	EG12191
1763164_s_at	yfeX	b2431	G7266
1760808_s_at	rffT	b4481	G7800
1763695_s_at	rhaR	b3906	EG10842
1768627_s_at	slp	b3506	EG11890
1759835_s_at	mdoD	b1424	EG12859
1759329_s_at	pscG	b2165	EG12033
1760388_s_at	yedD	b1928	EG11659
1764328_s_at	tyrP	b1907	EG11041
1767915_s_at	intG		G7044
1765529_s_at	yafC	b0208	EG11649
1759368_s_at	smf	b4473	EG11604
1764793_at	wbbI	b2034	EG11983
1767938_at	bglF	b3722	EG10115
1768272_s_at	cysI	b2763	EG10190
1767384_s_at	ydiP	b1696	G6919
1765940_s_at	ydhX	b1671	G6899
1766986_s_at	bioF	b0776	EG10121
1759074_at	yfbN	b2273	G7180
1765757_s_at	fucO	b2799	EG10351
1763235_at	yjeP	b4159	G7840
1763932_at	psrD	b4418	G0-8862
1760411_s_at	sufB	b1683	G6909
1759828_s_at	ybcO	b0549	G6305
1767194_s_at	caiT	b0040	EG11561
1763921_s_at	yeeY	b2015	G7088
1765452_s_at	oxyR	b3961	EG10681
1765137_at	paaH	b1395	G6716
1763749_s_at	ynfM	b1596	G6854
1759533_at	yfeW	b2430	G7265
1764631_s_at	rffD	b3787	EG11452
1761262_s_at	yfbS	b2292	G7186
1763273_s_at	sodA	b3908	EG10953
1760328_at	insO-2	b4285	G7906
1765475_s_at	yhjA	b3518	EG12244
1761171_s_at	mukF	b0922	EG12165
1763866_at	rfaB	b3628	EG11351
1760911_s_at	yceI	b1056	EG11820
1766320_s_at	hybB	b2995	EG11800
1765926_s_at	citF	b0615	G6341
1765827_s_at	ddlA	b0381	EG10213
1765696_s_at	dusC	b2140	EG12022
1762928_s_at	atoA	b2222	EG11670
1761969_s_at	araH	b4460	EG10059
1769125_s_at	yaaY	b0024	G6087
1765397_s_at	yhhL	b3466	EG12212
1764321_s_at	ybiH	b0796	EG12406
1764443_s_at	gatB	b2093	EG12415
1761374_s_at	rcnA	b2106	G7138
1759411_at	hrpB	b0148	EG12329
1765573_s_at	endA	b2945	EG11336
1764333_at	yaiP	b0363	G6215
1766489_s_at	ybfA	b0699	EG11521
1759226_s_at	lptB	b3201	EG11680
1768951_s_at	mepA	b2328	EG10580
1768185_at	ybfD	b0706	EG11524
1761578_s_at	ycgE	b1162	G6602
1762335_s_at	gltS	b3653	EG10406
1768798_s_at	yceO	b1058	G6555
1761641_s_at	ybgC	b0736	EG11110
1769213_s_at	folC	b2315	EG10327
1759161_s_at	hycB	b2724	EG10475
1761524_s_at	yicJ	b3657	EG11686
1768481_s_at	yebV	b1836	G7009
1767076_s_at	yfaP	b2225	G7152
1765094_s_at	ygfK	b2878	G7497
1767749_s_at	minD	b1175	EG10597
1768564_s_at	yagQ	b0283	G6154
1761244_s_at	rplV	b3315	EG10882
1760501_s_at	ccmE	b2197	EG12055
1768672_s_at	ybaP	b0482	G6258
1767068_s_at	glpB	b2242	EG10392
1766204_s_at	nudC	b3996	EG11702
1764100_s_at	deoC	b4381	EG10221
1763287_s_at	ydbC	b1406	EG11309
1768322_at	yfjV	b2640	G7375
1762253_s_at	nrfA	b4070	EG11781
1765284_s_at	raiA	b2597	EG11151
1768582_s_at	baeS	b2078	EG11617
1759981_s_at	ynaI	b1330	G6666
1765022_s_at	ubiA	b4040	EG11370
1765792_s_at	fcl	b2052	EG11788
1766318_at	ymfJ	b1144	G6588
1769170_at	yafT	b0217	G6101
1762319_at	rhsC	b0700	EG10848
1766357_at	cueR	b0487	G6263
1760757_s_at	yajL	b0424	G198
1766196_s_at	setB	b2170	EG12034
1762568_s_at	ssrA	b2621	EG30100
1768821_s_at	ppiD	b0441	G6242
1764114_at	glcB	b2976	EG20080
1762047_s_at	yjjQ	b4365	G7947
1765897_s_at	ydiQ	b1697	G6920
1764571_s_at	lpxL	b1054	EG10464
1762160_s_at	yhdV	b3267	G7695
1768176_at	ydfQ	b1554	G6827
1761114_s_at	cspA	b3556	EG10166
1767854_s_at	ushA	b0480	EG11060
1766053_s_at	yjjU	b4377	G7951
1768724_s_at	yadI	b0129	EG12322
1761326_s_at	sirA	b3470	EG12216
1765016_s_at	ybiV	b0822	G6425
1763011_at	yjhE		G7903
1764247_s_at	ais	b2252	G7165
1764111_s_at	ybhL	b0786	G6403
1767000_s_at	glcD	b2979	G7545
1762534_s_at	yncA	b1448	G6759
1761406_s_at	astC	b1748	G6944
1768279_s_at	sad	b1525	G6811
1764023_s_at	aldA	b1415	EG10035
1766568_s_at	acpP	b1094	EG50003
1766974_s_at	ychF	b1203	EG11404
1768270_s_at	ycjX	b1321	G6659
1762106_s_at	ybhN	b0788	G6405
1762993_s_at	edd	b1851	EG10257
1760130_s_at	yohK	b2142	EG12024
1760584_s_at	yohF	b2137	EG12019
1767610_s_at	pptA	b1461	EG11761
1764069_at	yjbI	b4038	EG11927
1762520_s_at	yhiN	b3492	EG12229
1761724_s_at	gltI	b0655	G6359
1764713_s_at	yiaG	b3555	EG12624
1768359_s_at	fumC	b1611	EG10358
1762564_s_at	cusS	b0570	G6318
1760764_s_at	yqeG	b2845	G7465
1762037_s_at	glpG	b3424	EG10397
1767670_s_at	yfiM	b2586	EG12857
1761998_s_at	aaeX	b3242	G7687
1759083_at	yajO	b0419	G6236
1760988_s_at	yihF	b3861	EG11832
1768508_s_at	chbR	b1735	EG10143
1765363_s_at	dhaL	b1199	G6626
1768347_at	yabI	b0065	EG11571
1768826_s_at	yeiI	b2160	EG12028
1761763_s_at	recN	b2616	EG10831
1765991_s_at	nudG	b1759	G6954
1768538_s_at	mhpR	b0346	G6201
1761875_s_at	yihX	b3885	EG11850
1765014_s_at	thiQ	b0066	EG11572
1766535_s_at	yehT	b2125	EG12006
1764037_s_at	yqeB	b2875	G7494
1765279_s_at	ydcH	b1426	EG12865
1767286_s_at	yiiD	b3888	EG11853
1761845_s_at	rbfA	b3167	EG11178
1769169_s_at	yjiY	b4354	G7942
1760072_at	yhhH	b3483	EG11520
1761983_s_at	glpT	b2240	EG10401
1762109_s_at	rof	b0189	G6097
1763997_s_at	pstB	b3725	EG10783
1759075_at	ggt	b3447	EG10374
1764272_s_at	guaC	b0104	EG10422
1764013_s_at	ygbK	b2737	G7418
1761255_s_at	phnD	b4105	EG10714
1768149_s_at	rutA	b1012	G6523
1761781_s_at	dcuB	b4123	EG10006
1769182_s_at	kdpC	b0696	EG10515
1762880_s_at	narI	b1227	EG10640
1768654_s_at	ydjJ	b1774	G6961
1761628_s_at	phoP	b1130	EG10731
1766892_s_at	rcsA	b1951	EG10820
1768342_at	gltF	b3214	EG11514
1768722_s_at	uvrC	b1913	EG11063
1763361_s_at	ytfP	b4222	G7876
1760116_s_at	mdtC	b2076	G7115
1769242_s_at	fucK	b2803	EG10350
1769205_s_at	fadH	b3081	G36
1762497_s_at	ppdC	b2823	EG11154
1766887_s_at	rimK	b0852	EG10852
1763864_s_at	ybgS	b0753	G6394
1759127_s_at	yghA	b3003	EG11292
1760559_s_at	pheP	b0576	EG10708
1761757_at	murR	b2427	G7262
1764475_s_at	ynbE	b1382	G6704
1760727_s_at	ygaM	b2672	G7400
1763581_s_at	proC	b0386	EG10769
1766638_s_at	rlmH	b0636	EG11254
1764675_at	gadY	b4452	G0-8914
1762958_s_at	tfaR	b1373	G6696
1760250_s_at	ydcK	b1428	G6741
1769097_at	rydB	b4430	G0-8876
1760299_s_at	pabA	b3360	EG10682
1761806_s_at	hslO	b3401	G7744
1768170_at	lyxK	b3580	EG12284
1759331_s_at	yccS	b0960	G6495
1768471_s_at	gntP	b4321	EG12563
1767036_at	paaX	b1399	G6720
1761110_s_at	ydhZ	b1675	G6903
1766291_s_at	clcB	b1592	G6850
1767994_s_at	ynbD	b1411	G6730
1765563_s_at	hypA	b2726	EG10483
1767806_at	yjjJ	b4385	EG12342
1759520_s_at	ravA	b3746	EG11731
1763931_s_at	inaA	b2237	EG11422
1765875_s_at	ydeU	b1509	G6797
1768212_s_at	rfaC	b3621	EG11189
1761188_s_at	csiR	b2664	EG12386
1769179_s_at	yicL	b3660	EG11688
1759972_s_at	cadB	b4132	EG10132
1759527_s_at	eptB	b3546	EG12267
1766508_at	yagL	b0278	G6149
1765500_at	tfaE	b1156	EG11120
1764862_s_at	ykgI	b0303	G6173
1759758_s_at	yhjY	b3548	EG12269
1763723_s_at	hemL	b0154	EG10432
1768352_s_at	chaA	b1216	EG11753
1764505_s_at	yjdM	b4108	EG10711
1761775_s_at	dam	b3387	EG10204
1763689_s_at	gspI	b3330	G7708
1761659_s_at	araB	b0063	EG10053
1761638_s_at	ymgE	b1195	G6624
1760824_s_at	yebB	b1862	EG11136
1763154_s_at	udk	b2066	EG11701
1763593_s_at	yheU	b3354	G7719
1762795_s_at	scpC	b2920	G7517
1765694_s_at	ypfH	b2473	G7296
1762979_s_at	lysU	b4129	EG10553
1761729_s_at	ycfL	b1104	G6564
1768158_s_at	ydaN	b1342	G6674
1768696_s_at	nikR	b3481	EG11519
1760355_s_at	nuoN	b2276	EG12093
1760946_s_at	anmK	b1640	G6880
1764930_s_at	yggP	b4465	G7520
1764434_at	gltD	b3213	EG10404
1761298_at	intA	b2622	EG11783
1760742_s_at	lldD	b3605	EG11963
1762172_at	ynaK	b1365	G6688
1759493_s_at	hyfB	b2482	EG11282
1764539_at	ycaO	b0905	G6468
1766731_s_at	yohJ	b2141	EG12023
1764240_s_at	talA	b2464	EG11797
1766050_s_at	syd	b2793	G7451
1762117_s_at	nirC	b3367	EG10654
1765945_s_at	secE	b3981	EG10939
1760891_s_at	fdnI	b1476	EG11229
1760619_s_at	malY	b1622	EG10564
1768671_s_at	chpA	b2782	EG11249
1760435_s_at	cysA	b2422	EG10183
1761539_s_at	phnE		G7822
1763322_s_at	modC	b0765	EG10152
1762639_s_at	tktB	b2465	EG12100
1762456_s_at	gfcD	b0984	G6505
1764251_s_at	ampD	b0110	EG10041
1760314_s_at	gatR_2	b2090	EG12162
1764947_at	glcF	b4467	G0-8601
1764335_s_at	yajR	b0427	G6241
1763414_s_at	rbn	b2268	G7175
1768235_at	csiD	b2659	G7394
1761577_s_at	trmI	b2960	EG11779
1764548_s_at	yhjB	b3520	EG12246
1764370_s_at	yfiD	b2579	EG11784
1759305_s_at	yfiL	b2602	EG12446
1762848_s_at	yqjK	b3100	G7614
1762584_s_at	gfcC	b0985	G6506
1761220_s_at	ulaB	b4194	EG12494
1765571_s_at	ade	b3665	EG11692
1761480_s_at	ytfB	b4206	G7864
1760608_s_at	yaiX	b0359	G6211
1762657_s_at	yqaE	b2666	G7396
1765812_s_at	yedF	b1930	EG11661
1763404_s_at	ycfJ	b1110	EG12444
1768391_s_at	atl	b0454	G6251
1760719_s_at	cdh	b3918	EG10138
1761152_s_at	fdx	b2525	EG11328
1766280_s_at	pepT	b1127	EG11549
1764298_s_at	ydcR	b1439	G6750
1766543_s_at	araC	b0064	EG10054
1763062_s_at	yphH	b2550	G7344
1762877_s_at	arnT	b2257	G7170
1760055_s_at	yqeH	b2846	G7466
1764349_s_at	yjbQ	b4056	EG11935
1766619_s_at	bcsZ	b3531	EG12258
1763995_s_at	fdnH	b1475	EG11228
1765552_s_at	bssR	b0836	G6436
1762735_s_at	yhhA	b3448	EG11184
1767985_at	ycbT	b0941	G6483
1763225_s_at	fklB	b4207	G7865
1764603_s_at	mcbR	b1450	G6761
1767055_x_at	rdlB	b4422	G0-9606
1768824_at	fecC	b4289	EG10288
1760310_at	yfjI	b2625	G7360
1761925_s_at	pabB	b1812	EG10683
1765422_at	yfcO	b2332	G7203
1768573_s_at	yodD	b1953	G7046
1767948_s_at	ydaM	b1341	G6673
1760844_s_at	ybjX	b0877	G6460
1766550_s_at	pta	b2297	EG20173
1766836_s_at	hemD	b3804	EG10430
1766158_at	puuE	b1302	G6646
1759952_s_at	bglA	b2901	G495
1763725_s_at	yggG	b2936	EG11291
1763948_s_at	uvrB	b0779	EG11062
1760377_s_at	srlR	b2707	EG10974
1764811_s_at	dadX	b1190	EG11408
1767754_at	yffN	b2445	G7275
1763654_s_at	ydaC	b1347	EG11901
1767418_at	yadB	b0144	EG11362
1761474_s_at	ung	b2580	EG11058
1759259_at	sgcE	b4301	G7914
1765480_s_at	pscK	b2166	EG11646
1767811_s_at	kbaY	b3137	EG12768
1768787_s_at	rspB	b1580	G6838
1765066_s_at	ftsN	b3933	EG11529
1767090_s_at	ydhB	b1659	EG12140
1761867_s_at	nanC	b4311	G7921
1766195_s_at	yjiM	b4335	G7932
1765451_s_at	mlaB	b3191	G7658
1768415_s_at	yjeH	b4141	G7833
1767210_s_at	ulaE	b4197	G7859
1766498_at	yfjH	b2623	G7359
1759531_s_at	yaeP	b4406	G372
1760443_s_at	rluC	b1086	EG11118
1767920_s_at	trmA	b3965	EG11022
1768479_s_at	cutC	b1874	G7024
1767925_s_at	yceK	b1050	EG12689
1762734_s_at	chaB	b1217	EG12402
1762432_s_at	rffC	b3790	EG11455
1768454_s_at	tldD	b3244	G7689
1762625_at	chbG	b1733	EG12198
1761866_s_at	entH	b0597	EG11105
1761135_s_at	yffB	b2471	EG11147
1762834_s_at	fadB	b3846	EG10279
1763057_s_at	ispE	b1208	EG11294
1765041_s_at	ycjF	b1322	EG12870
1764339_s_at	ybdR	b0608	G6335
1768030_s_at	ytfK	b4217	G7872
1763538_s_at	aroB	b3389	EG10074
1764365_s_at	gudX	b2788	G7446
1764407_at	evgS	b2370	EG11610
1760508_s_at	allA	b0505	G6275
1767231_s_at	yhhX	b3440	G7757
1765436_at	insK	b3558	G7777
1762409_s_at	mpl	b4233	EG12440
1768444_s_at	mglB	b2150	EG10593
1762307_s_at	gspG	b3328	G7706
1766389_at	b0165		G6091
1761941_s_at	ymdB	b1045	G6550
1762569_s_at	yecM	b1875	G7025
1767176_s_at	pepE	b4021	EG11920
1764939_at	sgcA	b4302	EG12554
1759109_s_at	yeiP	b2171	EG12035
1762418_s_at	hycE	b2721	EG10478
1766084_at	arnA	b2255	G7168
1760934_s_at	yqgE	b2948	G7524
1765993_s_at	ybaQ	b0483	G6259
1761713_s_at	gmd	b2053	EG11787
1769140_at	ompL	b3875	G7814
1766174_s_at	ftsL	b0083	EG11086
1766321_at	yagF	b0269	G6141
1766934_at	recG	b3652	EG10829
1768024_at	mutS	b2733	EG10625
1768651_s_at	cirA	b2155	EG10155
1762922_s_at	fhuD	b0152	EG10305
1762403_at	intS	b2349	G7218
1763229_s_at	yijF	b3944	EG11903
1766040_at	mqsR	b3022	G7572
1762252_s_at	yjgJ	b4251	G7882
1762577_s_at	mdtL	b3710	EG11720
1763300_at	ymfM	b1148	G6592
1765394_at	yfjT	b2637	G7372
1763774_s_at	gspC	b3324	G7702
1763531_s_at	yegR	b2085	G7122
1760084_s_at	fimE	b4313	EG10312
1768915_at	ssuA	b0936	G6478
1759379_s_at	dsbA	b3860	EG11297
1759451_s_at	yjfZ	b4204	G7862
1766103_s_at	ygaQ	b2654	G7389
1759367_at	ybgP	b0717	G6386
1767224_s_at	yciI	b1251	EG11607
1766973_s_at	ycgJ	b1177	G6614
1759073_at	ycfK	b1154	EG12877
1768320_at	cbrC	b3717	EG11727
1766762_s_at	xylE	b4031	EG11076
1759911_s_at	ugpE	b3451	EG11049
1759682_at	ybcL	b0545	G6301
1760554_s_at	fes	b0585	EG10299
1759207_at	b1364		G6687
1768823_at	sgrR	b0069	EG12094
1761489_s_at	ssuB	b0933	EG12358
1762645_s_at	rbbA	b3486	EG12223
1768358_s_at	yaiY	b0379	G6228
1759430_s_at	yigB	b3812	EG11202
1768136_s_at	yhiM	b3491	EG12228
1760908_s_at	ptsN	b3204	EG11682
1764257_s_at	ydjG	b1771	G6958
1768416_s_at	sgbH	b3581	EG12285
1769256_s_at	yeiS	b2145	G7144
1766334_s_at	cdd	b2143	EG10137
1766901_s_at	fhuE	b1102	EG10306
1767568_s_at	bcsG	b3538	EG12265
1765086_s_at	livM	b3456	EG10541
1760185_s_at	ygjR	b3087	G7606
1762930_at	caiC	b0037	EG11558
1763212_s_at	garP	b3127	EG12760
1763270_at	paaK	b1398	G6719
1763472_s_at	etp	b0982	G6503
1768297_s_at	ytfM	b4220	G7874
1760402_s_at	yihM	b3873	EG11839
1762379_at	yjhU	b4295	G7909
1765728_s_at	kdpE	b0694	EG10517
1766662_s_at	grxC	b3610	EG12294
1767543_s_at	thiK	b1106	G6566
1764635_s_at	csdA	b2810	G7454
1761541_s_at	yehU	b2126	EG12007
1764805_s_at	aqpZ	b0875	EG13270
1766242_s_at	nanR	b3226	G7678
1766404_s_at	glnB	b2553	EG10384
1767321_s_at	rplX	b3309	EG10884
1761953_s_at	glgP	b3428	EG10380
1763510_s_at	nadE	b1740	EG10663
1759107_s_at	yecF	b1915	EG12861
1759857_s_at	kup	b3747	EG11541
1760491_s_at	yegQ	b2081	G7118
1760820_s_at	rsmF	b1835	G7008
1763890_at	sokC	b4413	G0-9581
1764259_s_at	plsB	b4041	EG10740
1764582_s_at	fabI	b1288	EG11528
1764813_s_at	pck	b3403	EG10688
1766374_s_at	thiL	b0417	G6234
1767024_s_at	yjaB	b4012	EG11207
1759239_s_at	cusC	b0572	G6320
1759314_s_at	nrdF	b2676	EG12381
1759683_s_at	yrdA	b3279	G7696
1759697_s_at	yncE	b1452	G6763
1759803_s_at	sixA	b2340	G7211
1759831_at	fecA	b4291	EG10286
1759881_s_at	kefF	b0046	EG11568
1759898_s_at	ruvC	b1863	EG10925
1760058_s_at	hdfR	b4480	EG11449
1760246_s_at	bcsB	b3532	EG12259
1760289_s_at	sbmA	b0377	EG10928
1760368_s_at	poxA	b4155	EG11211
1760457_s_at	yajC	b0407	EG11096
1760530_s_at	cedA	b1731	G6936
1760563_at	murQ	b2428	G7263
1760691_s_at	hpf	b3203	EG11681
1760778_s_at	yidL	b3680	EG11707
1761073_s_at	zupT	b3040	EG11167
1761076_s_at	psiF	b0384	EG11401
1761079_s_at	yaiZ	b0380	G6229
1761143_s_at	cutC	b1874	G7024
1761181_at	yaeI	b0164	EG12337
1761331_s_at	allE	b0515	G6284
1761339_s_at	mutT	b0099	EG10626
1761432_s_at	acrR	b0464	EG12116
1761481_s_at	dnaB	b4052	EG10236
1761490_s_at	yphB	b2544	G7338
1761873_s_at	yciG	b1259	EG11127
1761999_s_at	fusA	b3340	EG10360
1762088_s_at	ubiH	b2907	EG11324
1762141_s_at	napA	b2206	EG12067
1762142_at	mcrB	b4346	EG10574
1762193_s_at	yidE	b3685	EG11536
1762197_s_at	glvB	b3682	EG11709
1762254_s_at	yibJ	b3595	EG11766
1762359_s_at	ycdT	b1025	G6532
1762384_at	yagJ	b0276	G6147
1762399_s_at	yegU	b2099	G7131
1762555_s_at	lldR	b3604	EG11962
1762693_s_at	metG	b2114	EG10586
1762730_at	aslB	b3800	EG10090
1762984_s_at	ydcU	b1442	G6753
1763092_at	omrA	b4444	G0-8868
1763194_s_at	gsk	b0477	EG11102
1763210_at	xapR	b2405	EG11146
1763290_s_at	yqhC	b3010	G7563
1763430_s_at	rpmG	b3636	EG10891
1763716_s_at	yoaB	b1809	G6993
1763729_s_at	mobA	b3857	EG11829
1763737_s_at	yibA	b3594	EG11187
1763837_s_at	asnB	b0674	EG10092
1764148_at	aroC	b2329	EG10075
1764362_s_at	tmcA	b2474	G7297
1764413_s_at	yebA	b1856	EG10013
1764425_s_at	selA	b3591	EG10941
1764435_s_at	ygiC	b3038	EG11165
1764509_s_at	fadD	b1805	EG11530
1764564_s_at	ydiN	b1691	G6917
1764693_at	rfaG	b3631	EG11339
1764757_s_at	chbB	b1738	EG10140
1764837_s_at	ydhW	b1672	G6900
