probe    C8 Avg	Control Avg
1765099_s_at	2.76845	2.51628
1765999_s_at	3.71778	3.12768
1767644_s_at	2.39916	2.40386
1762481_s_at	2.36230	2.36426
1764983_s_at	3.53343	4.54751
1764745_at	3.18787	3.00776
1764187_s_at	2.49556	2.68040
1768488_s_at	3.20873	3.49820
1766187_s_at	3.72203	2.61867
1768576_at	2.32481	2.32328
1764293_s_at	5.84113	5.45168
1767080_at	2.35593	2.35488
1764593_s_at	4.83239	5.02297
1767019_s_at	2.38793	2.43110
1768345_s_at	2.87275	2.86239
1762279_s_at	2.35923	2.38348
1766669_s_at	2.72662	2.32629
1766115_s_at	2.35353	2.37310
1759874_s_at	2.52997	2.54089
1761971_s_at	2.56310	2.56210
1767280_at	2.44511	2.44405
1762794_s_at	4.94109	4.08419
1762024_s_at	2.35055	2.35344
1762823_s_at	2.37012	2.37315
1760187_at	2.32945	2.33166
1763596_at	2.39909	2.42827
1767724_s_at	2.62567	2.62460
1760622_s_at	2.32828	2.32724
1768097_s_at	3.98873	4.01199
1765830_at	2.38188	2.39073
1762609_s_at	2.55189	2.68839
1765210_s_at	2.35116	2.43827
1761655_s_at	2.64008	2.64994
1760316_s_at	2.80489	2.88684
1767823_at	2.31492	2.31375
1760943_s_at	5.53338	5.11788
1764060_at	2.37442	2.37327
1764877_s_at	2.34191	2.34487
1763814_s_at	3.46508	3.63891
1767078_at	3.35540	3.52786
1766702_s_at	2.69359	2.82988
1761449_s_at	2.86852	2.97134
1760582_at	3.87056	3.97079
1765588_s_at	4.83658	4.20526
1763140_s_at	2.43820	2.48451
1759749_s_at	4.25695	3.40931
1764728_s_at	3.61149	3.15852
1761962_s_at	2.76040	2.78778
1769145_s_at	2.35589	2.36136
1765437_s_at	2.41714	2.41951
1764581_s_at	2.33083	2.33329
1764701_s_at	3.45109	3.67461
1766073_s_at	4.00895	4.15394
1766449_s_at	2.28469	2.28375
1761589_s_at	4.66357	4.10639
1764160_s_at	5.85375	5.14133
AFFX-BioDn-3_at	3.41470	2.74705
1760095_s_at	2.42820	2.43088
1764012_s_at	2.34043	2.38809
1764062_s_at	2.96649	2.36791
1765521_s_at	2.37986	2.38426
1768000_s_at	4.51324	4.21691
1761088_s_at	6.49880	6.21833
1761645_s_at	2.33705	2.46926
1766717_s_at	2.41506	2.43909
1767506_s_at	2.44583	2.60822
1766835_s_at	2.44108	2.45207
1762808_at	2.32200	2.32403
1764861_s_at	2.40327	2.41664
AFFX-r2-Ec-CreX_s_at	2.40101	2.41624
1765862_at	2.37993	2.44765
1764481_s_at	2.37318	2.38346
1768749_s_at	3.28500	3.64437
1767038_s_at	2.75738	2.75615
1762332_s_at	2.29027	2.28939
1759291_s_at	5.13955	4.91980
1765908_at	2.36408	2.37551
1759806_s_at	5.93858	6.10721
1768278_s_at	2.34906	2.37368
1766716_s_at	2.56629	2.57267
1766786_at	2.36723	2.37978
1769248_at	2.97659	3.02627
1768806_s_at	2.45250	2.45719
1761620_s_at	2.50510	2.62784
1764624_s_at	2.52839	2.40289
1768461_s_at	2.60791	2.51505
1764123_s_at	2.42397	2.51033
1765501_s_at	3.66443	3.72807
1767393_at	2.30586	2.30749
1761535_at	2.34567	2.35174
1766843_s_at	7.28132	7.10095
1764456_s_at	2.34192	2.34636
1759753_at	2.36457	2.37543
1767449_s_at	2.37122	2.37536
1763102_s_at	2.66214	3.23294
1760901_s_at	2.71216	2.92613
1768045_s_at	2.34969	2.56558
1760080_at	2.31710	2.31880
1759927_s_at	2.86304	2.76803
1764766_s_at	2.90874	3.21347
1763211_s_at	2.89387	3.03462
1759303_s_at	2.75513	2.44934
1767453_at	2.40296	2.40960
1767946_s_at	3.25708	3.42317
1768832_s_at	3.91722	3.65077
AFFX-r2-Ec-bioB-3_at	5.57915	4.67351
1761473_s_at	2.49894	2.50253
1767541_s_at	2.52080	2.57487
1761173_s_at	2.36583	2.41995
1767398_s_at	2.28705	2.28646
1769279_s_at	3.98490	4.29673
1768762_s_at	2.94751	3.22232
1763715_s_at	2.72375	2.51084
1768937_at	6.25265	5.57671
1767372_at	2.36979	2.38304
1762774_s_at	4.37301	3.81429
1762283_at	2.33295	2.33794
1764606_s_at	2.29183	2.28318
1763244_s_at	2.33343	2.32855
1764063_at	2.34822	2.35246
1767628_at	2.46728	2.49612
1764720_at	2.38972	2.40244
1768146_s_at	3.69760	3.45912
1764029_at	3.00406	2.91413
1759971_s_at	2.38336	2.39048
1767007_s_at	2.52851	2.56083
1768221_s_at	6.77888	6.40013
1764820_s_at	3.03197	2.84742
1767755_s_at	2.33976	2.34219
1760846_at	2.64053	2.77664
1761151_at	2.60566	2.60721
1762077_at	2.36297	2.36440
1763679_at	2.58823	2.69361
1767958_s_at	2.43455	2.43281
1767799_s_at	3.27161	4.20541
1766312_s_at	2.18026	2.17825
AFFX-Ec-AJ002682-1_s_at	2.34336	2.35596
1762367_s_at	5.99012	5.40892
1762769_at	2.38734	2.41225
1766057_at	2.39961	2.41076
1761548_s_at	3.83761	4.12951
1767710_s_at	2.61935	2.65500
1768383_s_at	2.35009	2.34801
1766884_s_at	2.34130	2.34018
1766515_at	2.34870	2.36805
1764186_s_at	2.73093	2.49321
1760763_s_at	4.14915	4.66070
1763939_s_at	2.35467	2.35601
1765148_s_at	2.41913	2.42291
1760041_s_at	2.49543	2.65379
1761973_s_at	3.39625	2.99928
1763410_s_at	2.34629	2.34521
1759741_at	2.41267	2.41937
1768076_s_at	3.25926	2.78534
1764712_s_at	6.45193	5.68617
1765250_s_at	2.32683	2.32544
1764604_at	2.39626	2.42020
1768655_s_at	2.37665	2.46794
1769083_s_at	2.41099	2.41004
1769181_at	2.71236	2.73756
1761900_s_at	2.34907	2.39516
1765019_at	2.38561	2.42196
1765101_at	2.45326	2.70035
1760726_s_at	3.51603	3.77185
1764233_at	2.34439	2.34734
1768275_s_at	3.36026	3.47519
1767401_at	2.53915	2.73013
1759092_s_at	2.79550	2.69424
1762582_s_at	2.35776	2.36072
1766125_s_at	2.34909	2.35577
1767483_at	2.42844	2.44633
1763355_at	2.33583	2.33437
1766553_s_at	3.68736	3.69429
1759817_s_at	2.33480	2.34924
1766679_s_at	2.34715	2.35374
1769152_s_at	2.71391	2.48851
1767873_s_at	3.12880	3.50623
1763362_s_at	2.43923	2.44448
1764473_s_at	2.86081	2.66594
1761060_s_at	2.35953	2.35789
1764467_s_at	4.55955	4.64294
1764650_at	2.35187	2.35573
1762046_s_at	2.37226	2.45344
1762970_s_at	2.41278	2.42606
1766913_s_at	4.78808	4.47517
1762267_at	2.34232	2.34522
1767664_s_at	2.42408	2.50420
1767128_s_at	2.38481	2.38906
1762327_s_at	3.58913	3.66073
1766178_s_at	2.41933	2.41706
1763625_at	2.36504	2.38088
1767294_at	2.34672	2.34522
1760098_s_at	2.58384	2.32558
1769074_s_at	2.31599	2.31871
1767087_s_at	2.97478	2.52137
1760470_s_at	2.38943	2.41251
1759403_s_at	2.28286	2.28131
1766996_s_at	2.31365	2.31748
1759134_s_at	4.19431	4.73112
1765040_s_at	2.52847	3.00620
1768776_s_at	2.50886	2.50734
1761098_s_at	5.81467	5.42438
1766879_at	2.36316	2.36618
1762687_s_at	2.39501	2.54965
1762610_s_at	3.63740	4.06356
1759390_s_at	2.39143	2.35277
1764568_s_at	2.37339	2.42083
1764174_s_at	2.32680	2.33027
1761159_s_at	2.38866	2.41704
1768145_s_at	5.31823	5.93913
1767042_s_at	2.36219	2.44644
1767625_at	2.35039	2.35195
1762528_s_at	2.35628	2.36108
1759140_s_at	2.33857	2.34527
1760937_at	2.39848	2.46904
1766049_s_at	3.83486	3.56907
1767674_s_at	3.96413	4.00986
1766778_at	2.39800	2.46939
1761336_s_at	3.10002	3.14335
1760714_s_at	2.59159	2.33701
1764756_s_at	2.34822	2.35135
1765818_s_at	2.31126	2.31831
1760013_s_at	2.40693	2.38944
1767327_s_at	2.70152	2.71085
1762783_s_at	2.39746	2.40811
1768147_s_at	2.46820	2.50199
1760128_s_at	4.52978	4.30247
1768978_s_at	3.27192	2.80945
1763850_s_at	3.28898	2.69538
1765229_s_at	3.09864	3.19850
1759187_at	3.30791	3.05307
1765894_s_at	2.44026	2.40672
1765419_s_at	2.43715	2.45176
1761759_s_at	5.46814	4.91481
1767040_s_at	4.98595	4.98782
1759343_s_at	4.49122	4.67173
1766060_s_at	2.31032	2.31348
1768933_s_at	2.35000	2.35673
1767564_s_at	2.35889	2.40530
1765312_at	2.41637	2.42341
1768378_s_at	2.42753	2.46492
1759863_s_at	2.35580	2.35994
1766479_x_at	2.46014	2.50249
1765232_s_at	2.43761	2.43625
1759580_at	2.38720	2.40391
1766199_at	2.39549	2.40245
1768124_s_at	2.22407	2.22251
1759873_s_at	5.05839	5.74264
1764188_s_at	2.38302	2.43820
1769229_s_at	2.39157	2.39438
1768658_s_at	2.61784	2.61633
1760818_s_at	2.37535	2.40285
1763777_s_at	2.95235	3.06111
1766149_s_at	2.33964	2.34299
1762475_at	2.36787	2.37379
AFFX-BioDn-5_at	2.43924	2.42049
1766668_s_at	2.41878	2.43082
1766678_s_at	2.40628	2.41583
1768153_s_at	2.31705	2.32441
1765031_at	2.31765	2.32090
1762529_s_at	2.37121	2.37493
1766923_s_at	2.67082	2.57440
1762274_s_at	2.95229	2.82139
1761720_s_at	2.58600	2.98738
1767152_at	2.39669	2.40052
1760011_s_at	2.33582	2.33413
1759715_s_at	3.13912	3.32623
1759977_s_at	6.16540	5.88767
1759604_at	2.35842	2.36215
1761048_s_at	2.40281	2.43699
1766813_at	2.36643	2.37272
1764245_s_at	2.44092	2.39715
1769034_s_at	2.41640	2.43618
1761325_s_at	3.27925	3.41646
